Conductivity,Cu,Cu-327nm_predict,Ni-232nm_predict,Zn-214nm_predict,Pb-406nm_predict
3000,0,4973.997741,75.55358631,633.8741881,81.14572201
3000,0,4901.962542,107.231164,757.3417275,57.3241809
3000,0,4818.728282,44.33793406,608.1188705,9.347734503
3000,0,4743.116574,-82.76209659,715.4230078,92.86602907
3000,0,5059.486805,15.30632864,723.4239321,221.1942231
3000,0,4946.112335,-12.16835455,628.9189556,142.5980872
3000,0,4899.374423,-48.77263893,694.69827,101.8659203
3000,0,4807.558302,29.50001732,636.6994592,32.33692544
3000,0,4813.506028,-93.24309225,747.4358575,103.8507002
3000,0,4911.351974,-38.26358302,657.4029309,112.1424646
3000,0,4806.455812,-83.8165059,752.6243443,78.94338399
3000,0,5133.862436,-95.37989615,788.2471476,68.0928032
3000,0,4954.160598,10.67159027,818.1047512,176.9950617
3000,0,4973.863376,-104.2235951,792.9593996,95.40193263
3000,0,4899.740285,44.88849843,811.8663889,144.7846253
3000,0,4732.649699,18.8189456,785.8906223,117.0363352
3000,0,5114.266963,47.38287865,735.5354455,136.1849954
3000,0,5256.955013,71.43042134,709.324148,71.51691495
3000,0,4862.706993,56.92998188,852.934809,73.28662035
3000,0,5075.95747,26.20782868,778.1589534,68.70908393
3000,0,5218.406903,21.05483654,901.9166986,184.0894363
3000,0,4895.543415,-40.43109188,720.1438299,124.5510072
3000,0,5068.637141,-54.28659923,924.7811473,60.85277897
3000,0,5089.67301,52.96158617,696.4981063,186.246851
3000,0,4980.102749,-41.26906653,821.8452291,-4.714493611
3000,0,4902.236956,-64.89609914,722.5138397,115.7827295
3000,0,4807.740992,-83.83372859,812.3950331,146.5510219
3000,0,5143.899924,-20.91417123,750.8250028,54.75081747
3000,0,5064.1978,-46.68644367,797.1470392,141.0835696
3000,0,5227.557185,58.05801945,708.4155508,-0.854176591
3000,5,6098.73171,213.6175108,22058.60252,12742.18401
3000,5,5721.863085,216.5584334,21787.24716,13540.76521
3000,5,5883.892933,126.3590375,21318.85856,12627.74718
3000,5,6175.448912,162.5268529,21178.89974,12986.93088
3000,5,6577.02354,197.5758162,20806.61358,12825.35219
3000,5,5910.731856,219.763667,19974.8423,12960.35229
3000,5,6076.056138,244.5280373,20601.82652,13726.35835
3000,5,6192.299435,218.0220927,20900.22775,13326.94308
3000,5,6301.676698,16.75136236,20969.40985,12947.00408
3000,5,6465.004356,149.0810544,21297.66923,13110.43723
3000,5,5984.973219,177.0804106,21098.91486,13162.27772
3000,5,6201.44954,228.2714114,20591.82827,13223.36585
3000,5,6545.739864,232.7276024,21143.47375,12927.80506
3000,5,6334.05177,194.1690892,20552.79809,12425.88079
3000,5,6319.042102,209.684888,20546.51664,12715.01483
3000,5,6164.578818,207.3546043,20368.10587,12329.39827
3000,5,6458.319146,286.2234429,20346.95421,12611.63566
3000,5,6439.316489,284.3596983,21756.2817,12120.86384
3000,5,6354.343895,264.2007912,20941.07959,11198.85786
3000,5,6089.173918,163.4935237,21152.88504,12270.97477
3000,5,6411.436134,232.5359997,21002.44261,12559.31532
3000,5,6506.757595,59.87330095,21799.88198,12125.93878
3000,5,6703.777725,214.711639,21228.80344,12431.20275
3000,5,5953.901628,129.2306706,21254.09088,12001.00438
3000,5,6500.055958,255.6599993,21423.36917,12085.96972
3000,5,6419.395831,164.4231885,21192.24618,11911.71349
3000,5,5995.682159,150.5101855,21504.57353,11712.55504
3000,5,6144.286173,170.9475583,21775.76557,12088.79289
3000,5,6508.18431,226.0736427,22174.76325,11657.44303
3000,5,6559.736246,217.7309965,22159.8896,11872.82391
3000,10,7651.33998,310.9689209,31771.61245,17817.04481
3000,10,7057.858611,237.365612,32864.67238,17723.95737
3000,10,7737.906794,356.0360959,33702.73839,17943.01221
3000,10,7398.108835,531.3610357,34550.18431,18758.55161
3000,10,7767.848604,276.1196942,33871.5277,17820.70993
3000,10,7744.692258,547.6330958,33575.37464,17499.97416
3000,10,7435.084032,471.072047,33711.34543,16643.78251
3000,10,7847.031673,433.7838044,33208.88914,17139.55416
3000,10,7850.887125,256.409915,33634.61204,16942.91563
3000,10,7862.941665,431.9000119,33434.35338,16387.70283
3000,10,7689.366527,397.8699054,32699.67275,16591.779
3000,10,7788.733316,437.6430783,33595.14224,17311.16397
3000,10,7831.746065,535.8022205,32719.26498,16822.68726
3000,10,7243.386735,351.0903315,32214.17792,15896.47353
3000,10,7655.503881,336.5585137,32152.24567,16640.61871
